sample ID	SSP.max.corToCMS1	SSP.max.corToCMS2	SSP.max.corToCMS3	SSP.max.corToCMS4
1_1b	0.0798111898760226	-0.107245871075547	-0.0316658810682844	0.236869262212633
1_2b	0.0514709158112834	-0.133653165373287	-0.198428978336478	0.466168957373885
1_3b	0.0323224260259839	-0.094893457383606	-0.12017050571798	0.332547896351249
10_2	0.137699011558298	-0.198959431394083	-0.0509953020032182	0.358229543274823
10_3	0.140064148487947	-0.194889319443397	-0.050317229856724	0.358529328412724
10_4	0.133746124265232	-0.175163084302377	-0.0637404499596035	0.340670233577736
11_2	0.00130028160396484	-0.0841304351338847	-0.107356181897147	0.349346945612579
12_1	0.0585246714747203	-0.170078367962174	-0.149509476528304	0.461737321730984
12_2	0.0603248493118024	-0.16903266090024	-0.130635965984952	0.44371873605471
13_1	-0.0682864194182054	-0.0145738951806684	-0.243911857684761	0.406468483630153
14_1b	0.0543246835712317	-0.110646876844255	0.0929098095736157	0.201343094900554
15_2	0.0624155000714487	-0.0913977075021037	-0.181752695581753	0.342864510691704
16_1	0.0667880795024773	-0.0635250751163154	0.406393561446603	-0.110369504642002
17_1	-0.142590630952037	0.334942103266739	-0.00701606976566998	-0.125898224897726
18_1	0.0322403206253019	0.0306636290421012	-0.180260099203914	0.163502888727475
19_1	0.0896258655627228	-0.189471994001545	-0.255951697327381	0.574538355994248
2_1	-0.235376646083172	0.406645927815707	0.000622895192394319	-0.125322702452597
2_2	-0.222706858622261	0.299207596434105	-0.13359844254611	0.0924768462175607
2_3	-0.215457032917253	0.264002819355656	-0.195774135980855	0.182378988640605
20_1	0.110787042835579	-0.178342390874543	-0.275314864864853	0.51076673662332
20_2	0.0775964552654963	-0.0678536342665392	-0.190653062058845	0.247699646143782
20_3	0.0299826122798601	-0.128136085141547	-0.291794324758864	0.529334171701071
21_1	0.015595284954382	-0.0901996114674037	-0.232071612370186	0.395735052543319
22_2	-0.00296961390162244	-0.0929187425262038	-0.278156614596692	0.519529486651788
22_3b	0.0506568865426021	-0.153087820055142	-0.305819337975806	0.557627665922797
22_4	0.0639158829787146	-0.139852058456669	-0.2860246245166	0.508394397596013
23_1	0.0361394467368291	-0.115537087916866	-0.310449320578784	0.525806030166838
23_2b	-0.150902441487785	0.1393293401975	-0.269015412566335	0.295038976313329
23_3	0.0569237491967349	-0.124188227387023	-0.323350587364836	0.540602408173006
24_1	-0.0640317750937858	-0.0160718361592909	-0.0975508936157259	0.294635841192614
25_1	0.0437603061621226	-0.143459161433768	-0.252476024745227	0.503986993121577
25_2	0.050907353642634	-0.104957186639448	-0.223768946158613	0.361099066529097
25_3	0.0499712929668821	-0.1215170896371	-0.199580060170044	0.396892052646559
25_4b	0.0575088411545136	-0.143847584003933	-0.269902589931619	0.495123809844878
26_1	0.011406987895771	-0.0799879022356359	-0.258204545259798	0.403880665481561
26_2	-0.0933617743140233	0.0352771031044453	-0.158257851128136	0.301555498960891
26_3b	0.0268637590997058	-0.0964848566792952	-0.319928942232201	0.487690747032806
27_1b	0.126801763852566	-0.204516343130871	-0.00684588145598216	0.336776930731028
27_2b	0.116572603880347	-0.0966110430184779	0.328457899335074	-0.0727219417443777
28_1b	0.00625842624191228	-0.0738586863447699	-0.215057179574288	0.398217215797138
28_2b	-0.0211228743960111	-0.0736171940965632	-0.221410635226932	0.450285635803763
28_3b	0.00747076122686739	-0.0880270335181888	-0.257708277207468	0.472649930487052
28_5b	-0.0480068080087166	0.00491219981854055	-0.111203057627247	0.241290390918835
29_2b	0.126412278611051	-0.176832556157628	-0.300989556138688	0.510432082063773
3_1	0.144144070374714	-0.193460328304829	-0.216840771199762	0.429526618102619
30_1b	-0.123325986475907	0.0729476149813507	-0.12368962185759	0.252899187158847
30_2b	0.0303418094131488	-0.123022844762566	-0.292390050451328	0.555872603872831
30_3	-0.100569527009307	0.0742792185229681	-0.0953300341839227	0.204358048526147
31_1	0.151051579872823	-0.229727530933727	-0.2480818821665	0.550518726311337
32_1b	0.0349422074731464	-0.0944405123551069	-0.00498137598162676	0.252203331936272
33_1b	0.000607831906231225	-0.0723849668998759	-0.166304762323522	0.338442035970283
33_3c	-0.0133457616415236	0.0316056607050209	0.160384694273262	0.0302048859141125
34_1b	0.0901242568365989	-0.183440897859962	-0.10625135271019	0.42532692279243
